15_min_interval,tag_bird,tag_insect,traffic,biophony,anthropophony,biophony.1,site
13:15:00,0.017883236,0.23663412,0.030298715,0.25436825,0.120149896,0.25436825,AM31
13:30:00,0.007605566,0.2504745,0.0288246,0.25213224,0.060388416,0.25213224,AM31
13:45:00,0.018459216,0.25484273,0.027548896,0.26443216,0.124640875,0.26443216,AM31
14:00:00,0.01245807,0.3042113,0.038441375,0.31039834,0.12646681,0.31039834,AM31
14:15:00,0.0069816867,0.25211275,0.028152378,0.25507817,0.061373346,0.25507817,AM31
14:30:00,0.017615516,0.27194718,0.026591917,0.2858091,0.055848148,0.2858091,AM31
14:45:00,0.01363494,0.3095164,0.0280279,0.31084982,0.065996595,0.31084982,AM31
15:00:00,0.009777914,0.34176558,0.028049119,0.34461266,0.054561656,0.34461266,AM31
15:15:00,0.0075041554,0.31452814,0.029077742,0.31600353,0.05373108,0.31600353,AM31
15:30:00,0.015865002,0.33245513,0.026448533,0.34095028,0.033867627,0.34095028,AM31
15:45:00,0.007475056,0.31337082,0.033503678,0.3229049,0.048109535,0.3229049,AM31
16:00:00,0.0083601875,0.27242693,0.030491624,0.27396426,0.04165872,0.27396426,AM31
16:15:00,0.008754139,0.24643706,0.024148816,0.24922816,0.037359156,0.24922816,AM31
16:30:00,0.005995184,0.32774892,0.023682062,0.32840517,0.042146385,0.32840517,AM31
16:45:00,0.020854149,0.39139992,0.01554641,0.3972106,0.03084066,0.3972106,AM31
17:00:00,0.017568847,0.35344875,0.018351477,0.36151567,0.03412769,0.36151567,AM31
17:15:00,0.010114165,0.40322986,0.018951528,0.40450227,0.031001093,0.40450227,AM31
17:30:00,0.024999475,0.36076573,0.017745588,0.37011707,0.026980655,0.37011707,AM31
17:45:00,0.01266377,0.3912479,0.02149148,0.39539623,0.03386305,0.39539623,AM31
18:00:00,0.008662365,0.34788078,0.01998614,0.34945473,0.03483494,0.34945473,AM31
18:15:00,0.030140009,0.47041535,0.016999623,0.47793666,0.026850179,0.47793666,AM31
18:30:00,0.010548818,0.46794394,0.016942186,0.4689561,0.026359638,0.4689561,AM31
